TIPO,ESCOLA,TELEFONE,RAMAL,WHATSAPP,ENDEREÇO,BAIRRO
EMEIEF,Eneias Raimundo da Silva - Prof.,"4198-7855,4706-1056","1050 , 1070 , 1071, 1072 , 1073 , 1074,4706-1056",(11) 4198-7855,"Est. Dr. Cicero Borges Moraes, 2.371",Bairro dos Altos
O.S. MATERNAIS,Evelyn Mosse Barreiro (Inst. Verus),4198-9333,,,"Estr. Dr. Cícero Borges de Morais, 71",Bairro dos Altos
EMEF,João Tiburcio Silva Filho,"4168-5707,4168-5238",,(11) 4168-5707,"R. Cambuci, 189",Chácaras Marco
EMMEI,Eliane Castanon Pereira,"4168-2085,4168-2059",,(11 ) 4168-2085,"Rua Sumaré, 90",Chácaras Marco
EMEF,Armando Cavazza (EJA),"4168-4296,4161-6045",,(11) 4168-4296,"R. São Paulo, 706",Engenho Novo
EMEF,Jorge Augusto de Camargo-Prof.,4168-4219,700,(11) 4168-4219,"Rua Cafelândia, 924",Engenho Novo
EMEF,Luiz de Oliveira Andrade - Pe,"4168-3217,4168-3605"," 860,861,862",(11) 4168-3217,"R. Maria Helena, 191",Engenho Novo
EMEF,Sandro Luiz Braga,"4161-2256,4161-5413"," 91120,91121,91122",(11) 4161-2256,"R. Nina, 300",Engenho Novo
EMEI,Takechi Takau,4161-4499,"1540, 1542, 1543)",(11) 4161-4499,"Rua Tiete, 1026",Engenho Novo
EMMEI,Maria Dolores Zendron Penteado,"4161-4320,4161-4330","1060,4161-4330",(11) 4161-4320,"R. Marechal Hermes da Fonseca, 41",Engenho Novo
O.S. MATERNAIS,Valdinéia de Fátima Cassoli (Inst. Alvorada),4706-1671,,,"Rua Duque de Caxias, 150",Engenho Novo
EMMEI,Thomaz Victoria Rodrigues,4194-1610,,(11 ) 4194-1610,"Rua Marelisa,155",Jardim Audir
O.S. MATERNAIS,Egle Aparecida Rodrigues Campos (Instituto Verus),"4247-2449,4247-2450",,,"Estrada do Exercito Brasileiro,920",Jardim Audir
EMEF,Aristides da Costa e Silva-Prof.,"4198-1208,4163-2831",,(11) 4198-1208,"Av.Henrique Gonçalves Baptista, 1.097",Jardim Belval
EMEF,Ezio Berzaghi,"4199-0864,4199-0851",,(11) 4199-0851,"Av.Henrique Gonçalves Baptista, 1.101",Jardim Belval
EMEF,Naly Benedicta B. C. Mancini- Profª,"4198-5999,4163-4719",,(11) 4163-4719,"R. Princesa Isabel, 145",Jardim Belval
EMEIEF,Elisabet Titto - Ver.,5570-2021,"91321,91322",(11) 5570-2021,"Rua Ricardo Peagno, 52",Jardim Belval
EMEI,Ricardo Peagno,"4198-0786,4706-1051",,(11) 4706-1051,"R. Av. Pref. João Vilallobo Quero, 1.379",Jardim Belval
O.S. MATERNAIS,Aparecida Conceição S. Akyama (Instituto Verus),4163-6527,,,"Av.Henrique Gonçalves Baptista, 1.796",Jardim Belval
O.S. MATERNAIS,Aracy Martins de Lima (Inst. PROJAB),"4375-4419,4375-4420",,,"Av.Henrique Gonçalves Baptista,453",Jardim Belval
O.S. MATERNAIS,Luzia Maria da Conceição Lima (Inst. PROJAB),"4162-0332,4162-0310",,,"Rua Rio Barueri, 175",Jardim Belval
EMEF,Egídio Costa - Prof.,"4163-6064,4163-5761",,(11) 4163-6064,"R. Ponte de Pedras, 60",Jardim Califórnia
EMEI,Renaldo Cruz - Padre,"4162-4417,4162-4413",,(11) 4162-4417,"R. Goiânia, 187",Jardim do Líbano
EMEF,Ivani Maria Paes - Prof.ª,4163-4109,,(11) 4163-4109,"Rua Ivani Maria Paes, 21",Jardim dos Camargos
O.S. MATERNAIS,Matilde Abreu de Moraes (Instituto Verus),4198-8647,,,"Rua Rubro, nº 416",Jardim dos Camargos
EMEI,Guilherme A. Siqueira- Cap.,4168-1426,,(11) 4168-1426,"R. Dempachi Nakayama, 302",Jardim Esperança
EMEF,Carlos Osmarinho de Lima - Prof. (Compl.),4163-4047,,(11) 4163-4047,"Rua das Margaridas, 182",Jardim Flórida
EMEI,Carlos Osmarinho de Lima - Prof. (Compl.),4163-4033,,(11) 4163-4033,"Rua das Margaridas, 182",Jardim Flórida
EMM,Carlos Osmarinho de Lima - Prof.,4163-4082,,(11) 4163-4082,"Rua das Margaridas, 182",Jardim Flórida
EMEF,Elizabeth Parminondi Romero,"4168-1072,4168-1670",,(11) 4168-1670,"Rua Iepê, 11",Jardim Graziela
EMM,Joaquim Soares,"4195-0717,4195-0636",1640,(11) 4195-0717,"Av. da Aldeia, 905",Jardim Iracema
O.S. MATERNAIS,Vitoria Regiani A. de Moura (Inst. Favo de Mel),"4191-7320,4191-8949",,,"Rua Loterio Vieira, 71",Jardim Iracema
O.S. MATERNAIS,Marisa Odaine de O. Molina (Instituto CEDECC),"4162-1970,4162-2112",,,"Rua Buri, 03",Jardim Itaparica
EMEF,Sidney Santucci - Prof,4162-4733,,(11) 4162-4733,"Av São Fernando, 565",Jardim Julio
EMEF,Suzete da Costa e Silva Mariano,",4194-4667",,(11) 4194-4667,"Av. Giovani Attílio Tolaine, s/nº",Jardim Maria Helena
EMEIEF,Francisco Zacarioto,4552-6932,,(11) 4552-6932,"Rua Ipanema, 420",Jardim Maria Helena
O.S. MATERNAIS,Roberto Griti Medeiros (Inst. Alcançando Vidas),"4552-7012,4552-7028",,,R. Niterói - 195,Jardim Maria Helena
EMEIEF,José Emidio de Aguiar,"4163-2031,4163-2126",1380,(11) 4163-2126,"R. Augusta, 198",Jardim Maria Tereza
EMEF,João Carvalho de Lima,"4191-5736,4689-1472,4688-2064",,(11) 4191-5736,"R. Mauro José da Silva Jangada, 325",Jardim Mutinga
EMEF,José Domingos da Silveira - Prof.,"4191-2577,4689-1443",780,(11) 4191-2577,"Rua São Vicente de Paula, 100",Jardim Mutinga
EMEF,Nestor de Camargo -Pref.,"4191-8994,4191-8973",980,(11) 4191-8973,"R. Abelardo Luz, 86",Jardim Mutinga
EMEI,João Evangelista de Oliveira,4191-5865,,(11) 4191-5865,"R. Dom Feliciano, 240",Jardim Mutinga
EMM,Maria Rosa Ferreira,"4193-2790,4688-1221",,(11) 4193-2790,"R. Petrolina, 85",Jardim Mutinga
O.S. MATERNAIS,Nadir Adolfina Pereira (Inst. Favo de Mel),4375-6845,,,"Rua Abelardo Luz, 800",Jardim Mutinga
EMEF,João de Almeida Lemos,"4198-8992,4163-1142",,(11) 4198-8992,"R. Vitorino Calegare, 259",Jardim Paraíso
EMM,Leonardo Augusto M. dos Santos,"4198-8939,4163-2127",,(11) 4198-8939,"R. Vitorino Calegare, 159",Jardim Paraíso
EMEF,Deiró Felicio de Andrade- Rev,4194-3602,,(11) 4194-3602,"R. Piratininga, 103",Jardim Paulista
